Marker,Jour,Mois,Année,Plongeur,Début - lat.,Début - long.,Fin - lat.,Fin - long.,Depth,Site,Transect,section,SEX,SIZE,Escape,Sa,Va,Du,Al,Co,Gr,Ca,type,commentaire,fond,,
173,21,8,2007,Fplante,4552.526,6325.917,4552.539,6325.991,23,FH,L3-T5,5,,,,,,,,,,,Simple,,,,
174,21,8,2007,Fplante,4552.526,6325.917,4552.539,6325.991,23,FH,L3-T5,6,,,,,,,,,,,Simple,LS,,,
175,21,8,2007,Fplante,4552.526,6325.917,4552.539,6325.991,23,FH,L3-T5,7,,,,,,,,,,,Simple,,,,
176,21,8,2007,Fplante,4552.526,6325.917,4552.539,6325.991,23,FH,L3-T5,8,,,,,,,,,,,Simple,,,,
177,21,8,2007,Fplante,4552.526,6325.917,4552.539,6325.991,23,FH,L3-T5,9,,,,,,,,,,,Simple,,,,
178,21,8,2007,Fplante,4552.526,6325.917,4552.539,6325.991,23,FH,L3-T5,12,,,,,,,,,,,Simple,,,,
179,21,8,2007,Fplante,4552.526,6325.917,4552.539,6325.991,23,FH,L3-T5,13,,,,,,,,,,,Simple,,,,
180,21,8,2007,Fplante,4552.526,6325.917,4552.539,6325.991,23,FH,L3-T5,14,,,,,,,,,,,Simple,,,,
181,21,8,2007,Fplante,4552.526,6325.917,4552.539,6325.991,23,FH,L3-T5,15,,,,,,,,,,,Simple,,,,
182,21,8,2007,Fplante,4552.526,6325.917,4552.539,6325.991,23,FH,L3-T5,16,,,,,,,,,,,Simple,,,,
183,21,8,2007,Fplante,4552.526,6325.917,4552.539,6325.991,23,FH,L3-T5,17,,,,,,,,,,,Simple,,,,
184,21,8,2007,Fplante,4552.526,6325.917,4552.539,6325.991,23,FH,L3-T5,18,,,,,,,,,,,Simple,,,,
185,21,8,2007,Fplante,4552.526,6325.917,4552.539,6325.991,23,FH,L3-T5,19,,,,,,,,,,,Simple,,,,
186,21,8,2007,Fplante,4552.526,6325.917,4552.539,6325.991,23,FH,L3-T5,20,,,,,,,,,,,Simple,,,,
187,21,8,2007,Rvienneau,4552.526,6325.917,4552.539,6325.991,23,FH,L3-T5,1,,,,,,,,,,,Simple,,,,
188,21,8,2007,Rvienneau,4552.526,6325.917,4552.539,6325.991,23,FH,L3-T5,2,,,,,,,,,,,Simple,,,,
189,21,8,2007,Rvienneau,4552.526,6325.917,4552.539,6325.991,23,FH,L3-T5,3,,,,,,,,,,,Simple,,,,
190,21,8,2007,Rvienneau,4552.526,6325.917,4552.539,6325.991,23,FH,L3-T5,4,m,132,,,,,,,,,Simple,,,,
191,21,8,2007,Rvienneau,4552.526,6325.917,4552.539,6325.991,23,FH,L3-T5,5,,,,,,,,,,,Simple,,,,
192,21,8,2007,Rvienneau,4552.526,6325.917,4552.539,6325.991,23,FH,L3-T5,6,,,,,,,,,,,Simple,,,,
193,21,8,2007,Rvienneau,4552.526,6325.917,4552.539,6325.991,23,FH,L3-T5,7,,,,,,,,,,,Simple,,,,
194,21,8,2007,Rvienneau,4552.526,6325.917,4552.539,6325.991,23,FH,L3-T5,8,,,,,,,,,,,Simple,,,,
195,21,8,2007,Rvienneau,4552.526,6325.917,4552.539,6325.991,23,FH,L3-T5,9,,,,,,,,,,,Simple,,,,
196,21,8,2007,Rvienneau,4552.526,6325.917,4552.539,6325.991,23,FH,L3-T5,10,,,,,,,,,,,Simple,,,,
197,21,8,2007,Rvienneau,4552.526,6325.917,4552.539,6325.991,23,FH,L3-T5,11,,,,,,,,,,,Simple,,,,
198,21,8,2007,Rvienneau,4552.526,6325.917,4552.539,6325.991,23,FH,L3-T5,12,,,,,,,,,,,Simple,,,,
199,21,8,2007,Rvienneau,4552.526,6325.917,4552.539,6325.991,23,FH,L3-T5,13,,,,,,,,,,,Simple,,,,
200,21,8,2007,Rvienneau,4552.526,6325.917,4552.539,6325.991,23,FH,L3-T5,14,f,87,,,,,,,,,Simple,,,,
201,21,8,2007,Rvienneau,4552.526,6325.917,4552.539,6325.991,23,FH,L3-T5,16,,,,,,,,,,,Simple,,,,
202,21,8,2007,Rvienneau,4552.526,6325.917,4552.539,6325.991,23,FH,L3-T5,17,,,,,,,,,,,Simple,,,,
